11037;ОКВКУ "Площадь Победы" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;EUR;86.65;88.35;1;0
11037;ОКВКУ "Площадь Победы" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;PLN;18.65;19.45;1;0
10024;ОО в г.Липецке АКБ "Трансстройбанк";19.07.2021 17:02;USD;73.00;75.20;1;0
10024;ОО в г.Липецке АКБ "Трансстройбанк";19.07.2021 17:02;EUR;86.50;88.80;1;0
10834;ДО "Горьковский" в г.Нижний Новгород АКБ "Трансстройбанк";19.07.2021 17:22;USD;74.00;75.00;1;0
10834;ДО "Горьковский" в г.Нижний Новгород АКБ "Трансстройбанк";19.07.2021 17:22;EUR;88.00;88.60;1;0
10953;ДО в г.Пермь АКБ "Трансстройбанк";19.07.2021 19:47;USD;74.00;75.00;1;0
10953;ДО в г.Пермь АКБ "Трансстройбанк";19.07.2021 19:47;EUR;87.85;88.65;1;0
10953;ДО в г.Пермь АКБ "Трансстройбанк";19.07.2021 19:47;CNY;9.00;11.80;1;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;USD;74.20;75.40;1;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;EUR;87.65;88.85;1;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;GBP;99.20;103.20;1;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;CHF;78.40;82.40;1;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;JPY;65.30;68.40;100;0
10016;ОКВКУ в г.Санкт-Петербурге АКБ "Трансстройбанк";19.07.2021 19:47;CNY;8.50;12.50;1;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;USD;74.20;75.20;1;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;EUR;87.65;88.65;1;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;GBP;101.80;102.70;1;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;CHF;80.00;81.50;1;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;NOK;74.45;83.50;10;0
10925;ОКВКУ "Выборг" АКБ "Трансстройбанк" (АО);19.07.2021 19:47;SEK;77.00;86.05;10;0
